Name,Fuel,Price
링컨 All New Continental ,NA,NA
포르쉐 918 Spyder ,9.6,119520
미니 Convertible ,12.4,4680
마세라티 Quattroporte ,11.5,24550
폭스바겐 The New Polo ,17.4,2870
BMW Active Tourer ,17.0,4550
닛산 Maxima ,9.8,4330
크라이슬러 New 300C ,9.2,5580
쌍용 체어맨 W ,8.1,11192
람보르기니 Huracan ,8.4,39900
닛산 Qashqai ,13.8,3800
벤츠 AMG GT ,7.3,19360
볼보 XC60 ,14.9,7280
폭스바겐 The Beetle ,15.0,3970
아우디 New A1 ,16.1,4020
닛산 Juke ,12.1,2870
인피니티 QX60 ,10.8,6770
재규어 F-Type ,8.9,18970
피아트 500X ,12.2,3980
BMW 2 Series ,16.7,5160
포드 Taurus ,10.4,5055
아우디 신형 R8 ,NA,NA
기아 봉고3 트럭 ,15.0,1943
혼다 Odyssey ,9.1,5020
재규어 New XJ ,12.1,22670
볼보 XC70 ,14.6,6550
캐딜락 CT6 ,NA,NA
시트로엥 C4 Cactus ,NA,NA
혼다 Civic ,13.2,2760
푸조 308 ,16.2,4145
인피니티 New Q70 ,8.8,6880
렉서스 올 뉴 GS ,12.7,11640
닛산 All New Murano ,11.1,5490
기아 더 뉴 K3 Koup ,12.6,2364
볼보 S80 ,16.1,6430
토요타 Sienna ,8.5,5420
벤츠 SL-Class ,9.7,19820
포드 Kuga ,13.0,4410
렉서스 RC ,9.9,11860
BMW Z4 ,12.2,8870
푸조 3008 ,14.4,4090
롤스로이스 Phantom ,5.9,76000
볼보 V60 CC ,14.6,5550
폭스바겐 New Scirocco ,14.8,4330
롤스로이스 Dawn ,NA,44900
벤틀리 New Flying Spur ,7.4,34000
캐딜락 ATS-V ,8.1,9050
페라리 488 GTB ,11.4,34000
토요타 Avalon ,9.8,4740
볼보 V40 CC ,16.5,4990
시트로엥 Grand C4 Picasso ,15.1,5035
링컨 MKC ,9.0,5230
마세라티 GranTurismo ,6.7,25210
쉐보레 스파크 EV ,6.0,3816
렉서스 LS ,9.5,17810
벤틀리 Mulsanne ,4.9,48000
닛산 Pathfinder ,8.9,5240
포드 Focus ,18.1,3460
르노삼성 SM3 Z.E. ,4.4,4190
토요타 Prius V ,17.9,3860
토요타 86 ,11.8,4670
한국GM 다마스 ,9.2,1005
BMW i3 ,5.9,6064
피아트 500 ,11.8,2490
캐딜락 SRX ,7.6,7050
스마트 New Forfour ,23.8,3190
맥라렌 650S Spider ,8.5,35900
기아 쏘울 EV ,5.0,4250
볼보 S60 CC ,15.3,5340
페라리 F12 Berlinetta ,5.4,50000
시트로엥 New DS5 ,13.5,4900
마세라티 Grancabrio ,6.6,26450
페라리 California T ,7.4,27800
롤스로이스 Ghost Series II ,6.3,48000
아우디 A3 e-tron ,14.5,5550
닛산 370Z ,9.0,5150
인피니티 QX70 ,7.6,7505
애스턴마틴 VANQUISH ,7.8,39900
폭스바겐 Phaeton ,9.6,8740
링컨 Navigator ,NA,NA
볼보 V60 ,15.8,5950
링컨 MKS ,9.0,5940
시트로엥 New DS3 ,17.0,3355
시트로엥 C4 Picasso ,15.0,3645
페라리 488 Spider ,8.8,38300
혼다 Legend ,9.7,6390
닛산 GT-R ,7.7,17800
로터스 Elise ,15.9,8350
롤스로이스 Wraith ,6.3,39000
스마트 New Fortwo ,24.4,3390
피아트 500C ,12.0,2790
시트로엥 DS4 ,17.6,3730
애스턴마틴 VANTAGE ,7.7,25900
인피니티 New QX80 ,6.3,12030
크라이슬러 Grand Voyager ,7.9,6030
인피니티 Q60 ,8.9,7005
한국GM 라보 ,8.9,1075
페라리 458 Spider ,5.6,42000
애스턴마틴 DB9 ,6.9,27700
맥라렌 650S ,8.5,32900
애스턴마틴 RAPIDE S ,7.8,27900
 CK Mini Van ,10.5,1140
페라리 458 Italia ,5.6,37900
맥라렌 570S ,NA,NA
페라리 458 Speciale ,8.5,43000
페라리 FF ,5.7,46000
닛산 Leaf ,5.2,4894
로터스 Evora ,10.8,14900
로터스 Exige ,9.9,13300
 CK Mini Truck ,10.0,1085
 Outlander ,9.9,4090
 Outback ,10.9,4740
 Lancer ,11.1,5950
 Legacy ,11.1,4140
 Forester ,10.6,3750
 RVR ,11.0,3490
